股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
中远海能,sh600026,7.18,50.75万手,7.37,7.93,22.81万手,3.71亿,-30.15%,201.37亿,10.01,0.55,40.32亿,7.21,1.85%,7.18,"
                        6.49",27.95万手,2.64%,1.56,296.76亿,1.09,6.75,27.36亿
华电国际,sh600027,5.02,21.27万手,5.04,5.53,12.26万手,1.07亿,14.03%,341.94亿,10.03,0.38,98.63亿,5.03,0.31%,5,"
                        4.53",9.00万手,0.80%,1.49,497.09亿,1.16,4.36,67.85亿
中国石化,sh600028,5.7,136.58万手,5.83,6.28,63.47万手,7.87亿,-68.73%,5542.35亿,18.06,0.24,1210.71亿,5.71,0.14%,5.68,"
                        5.14",73.11万手,2.63%,1.69,7022.13亿,1.01,5.72,955.58亿
南方航空,sh600029,--,--,--,8.67,--,--,--,553.38亿,9.01,0.66,98.18亿,7.88,--,--,"
                        7.09",--,--,--,773.62亿,1.74,4.52,70.23亿
中信证券,sh600030,16.13,74.55万手,16.37,17.77,36.28万手,12.08亿,-30.15%,1598.81亿,19.04,0.86,121.17亿,16.15,0.76%,16.06,"
                        14.53",38.27万手,1.92%,1.27,1973.84亿,1.38,11.78,98.15亿
三一重工,sh600031,7.5,63.50万手,7.62,8.23,29.99万手,4.76亿,-52.13%,577.88亿,250.35,0.02,76.58亿,7.48,0.84%,7.4,"
                        6.73",33.52万手,2.94%,1.43,582.77亿,2.48,3.07,75.94亿
福建高速,sh600033,3.63,27.43万手,3.7,3.99,7.76万手,1.01亿,-27.83%,101.27亿,14.12,0.2,27.44亿,3.63,1.00%,3.62,"
                        3.27",19.67万手,2.20%,2.63,101.27亿,1.22,3.03,27.44亿
楚天高速,sh600035,5.72,3.77万手,5.81,6.31,1.44万手,2173.37万,-25.96%,84.30亿,23.3,0.22,17.31亿,5.74,0.26%,5.72,"
                        5.17",2.33万手,1.57%,0.59,100.39亿,1.98,2.93,14.53亿
招商银行,sh600036,18.77,32.78万手,18.79,20.5,11.70万手,6.13亿,-32.28%,3874.12亿,6.81,2.07,252.20亿,18.64,0.16%,18.63,"
                        16.78",21.08万手,0.86%,2.09,4736.29亿,1.19,15.72,206.29亿
歌华有线,sh600037,15.3,6.23万手,15.32,16.83,3.34万手,9486.08万,-11.07%,178.41亿,26.79,0.43,13.92亿,15.3,0.53%,15.17,"
                        13.77",2.88万手,0.98%,0.75,212.52亿,1.74,8.79,11.68亿
