股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
180ETF,sh510180,3.05,14.93万手,3.09,,,4568.80万,,,,,,3.05,,3.05,,,,,,,,
龙头ETF,sh510190,3.22,141手,3.32,,,4.64万,,,,,,3.3,,3.21,,,,,,,,
综指ETF,sh510210,3.65,20手,3.65,,,7207,,,,,,3.62,,3.57,,,,,,,,
中小ETF,sh510220,4.07,1手,4.07,,,407,,,,,,4.01,,4.07,,,,,,,,
金融ETF,sh510230,5.22,1514手,5.25,,,79.22万,,,,,,5.21,,5.2,,,,,,,,
新兴ETF,sh510260,1.15,314手,1.16,,,3.59万,,,,,,1.14,,1.13,,,,,,,,
国企ETF,sh510270,1.01,409手,1.02,,,4.18万,,,,,,1.03,,1.01,,,,,,,,
成长ETF,sh510280,1.4,5004手,1.43,,,70.50万,,,,,,1.37,,1.37,,,,,,,,
380ETF,sh510290,1.62,839手,1.63,,,13.65万,,,,,,1.62,,1.62,,,,,,,,
HS300ETF,sh510310,1.44,3.19万手,1.46,,,462.16万,,,,,,1.44,,1.44,,,,,,,,
华夏300,sh510330,3.68,3109手,3.72,,,115.11万,,,,,,3.69,,3.68,,,,,,,,
广发300,sh510360,1.07,4.73万手,1.08,,,509.02万,,,,,,1.07,,1.07,,,,,,,,
资源ETF,sh510410,0.69,333手,0.7,,,2.32万,,,,,,0.7,,0.69,,,,,,,,
180EWETF,sh510420,1.47,82手,1.5,,,1.21万,,,,,,1.47,,1.47,,,,,,,,
50等权,sh510430,1.35,6手,1.36,,,810,,,,,,1.36,,1.34,,,,,,,,
500沪市ETF,sh510440,1.88,8手,1.88,,,1483,,,,,,1.85,,1.85,,,,,,,,
180高ETF,sh510450,--,--,--,,,--,,,,,,1.42,,--,,,,,,,,
500ETF,sh510500,6.81,15.33万手,6.86,,,1.05亿,,,,,,6.81,,6.8,,,,,,,,
广发500,sh510510,1.79,1.39万手,1.8,,,248.53万,,,,,,1.79,,1.79,,,,,,,,
诺安500,sh510520,1.75,40手,1.75,,,7000,,,,,,1.75,,1.75,,,,,,,,
国寿500,sh510560,1.35,1.54万手,1.35,,,208.78万,,,,,,1.34,,1.34,,,,,,,,
ZZ500ETF,sh510580,6.55,64手,6.55,,,4.16万,,,,,,6.5,,6.49,,,,,,,,
能源行业,sh510610,--,--,--,,,--,,,,,,0.77,,--,,,,,,,,
材料行业,sh510620,--,--,--,,,--,,,,,,0.99,,--,,,,,,,,
消费行业,sh510630,1.75,1182手,1.76,,,20.74万,,,,,,1.76,,1.75,,,,,,,,
金融行业,sh510650,1.46,332手,1.48,,,4.87万,,,,,,1.46,,1.46,,,,,,,,
医药行业,sh510660,1.63,7118手,1.64,,,116.32万,,,,,,1.64,,1.63,,,,,,,,
万家380,sh510680,1.79,341手,1.87,,,6.17万,,,,,,1.82,,1.78,,,,,,,,
H股ETF,sh510900,1.15,444.25万手,1.16,,,5.11亿,,,,,,1.15,,1.15,,,,,,,,
国债ETF,sh511010,110.82,2.82万手,111.08,,,3.13亿,,,,,,110.82,,110.79,,,,,,,,
企债ETF,sh511210,--,--,--,,,--,,,,,,112.57,,--,,,,,,,,
城投ETF,sh511220,95.56,185手,95.6,,,176.82万,,,,,,95.56,,95.2,,,,,,,,
华夏快线,sh511650,100,9720手,100.01,,,9721.08万,,,,,,100,,100,,,,,,,,
建信添益,sh511660,100,10.78万手,100.01,,,10.78亿,,,,,,100,,100,,,,,,,,
交易货币,sh511690,100,16.50万手,100.01,,,16.50亿,,,,,,100,,100,,,,,,,,
场内货币,sh511700,100,1.24万手,100,,,1.24亿,,,,,,99.99,,99.9,,,,,,,,
德邦货币,sh511760,100,19手,100.03,,,19.71万,,,,,,99.95,,99.96,,,,,,,,
易货币,sh511800,100,1.69万手,100,,,1.69亿,,,,,,99.99,,99.99,,,,,,,,
理财金H,sh511810,100,19.32万手,100.01,,,19.32亿,,,,,,99.99,,99.99,,,,,,,,
鹏华添利,sh511820,100,7.72万手,100.01,,,7.72亿,,,,,,99.99,,100,,,,,,,,
华泰货币,sh511830,100.15,4948手,100.15,,,4948.71万,,,,,,99.99,,99.99,,,,,,,,
财富宝E,sh511850,100,6076手,100.01,,,6077.10万,,,,,,100,,100,,,,,,,,
博时货币,sh511860,99.99,8812手,100,,,8812.51万,,,,,,99.99,,99.99,,,,,,,,
银华日利,sh511880,100.77,108.78万手,100.78,,,109.62亿,,,,,,100.76,,100.76,,,,,,,,
景顺货币,sh511890,100,269手,100,,,269.10万,,,,,,99.99,,99.99,,,,,,,,
富国货币,sh511900,100,17.57万手,100,,,17.57亿,,,,,,100,,100,,,,,,,,
融通货币,sh511910,100,1.42万手,100,,,1.42亿,,,,,,99.99,,100,,,,,,,,
广发货币,sh511920,100,35手,100,,,35.62万,,,,,,99.99,,100,,,,,,,,
中融日盈,sh511930,99.99,3590手,100,,,3590.39万,,,,,,99.99,,99.99,,,,,,,,
广发添利,sh511950,99.97,35手,100,,,35.65万,,,,,,99.99,,99.97,,,,,,,,
嘉实快线,sh511960,100,665手,100.01,,,665.47万,,,,,,100,,100,,,,,,,,
国寿货币,sh511970,100,3.06万手,100,,,3.06亿,,,,,,100,,100,,,,,,,,
现金添富,sh511980,100,1.52万手,100,,,1.52亿,,,,,,99.99,,100,,,,,,,,
华宝添益,sh511990,100.01,155.57万手,100.01,,,155.58亿,,,,,,100,,99.99,,,,,,,,
券商ETF,sh512000,0.96,3.57万手,0.98,,,347.77万,,,,,,0.96,,0.96,,,,,,,,
医药ETF,sh512010,1.42,4770手,1.43,,,68.03万,,,,,,1.42,,1.41,,,,,,,,
非银ETF,sh512070,1.66,1.76万手,1.69,,,293.26万,,,,,,1.66,,1.66,,,,,,,,
1000ETF,sh512100,0.97,1.28万手,0.97,,,123.76万,,,,,,0.97,,0.96,,,,,,,,
中证地产,sh512110,--,--,--,,,--,,,,,,1.53,,--,,,,,,,,
中证医药,sh512120,1.42,5597手,1.42,,,79.53万,,,,,,1.42,,1.42,,,,,,,,
景顺食品,sh512210,1.54,829手,1.55,,,12.61万,,,,,,1.56,,1.51,,,,,,,,
景顺TMT,sh512220,1.35,211手,1.37,,,2.86万,,,,,,1.35,,1.35,,,,,,,,
景顺医药,sh512230,1.33,306手,1.36,,,4.07万,,,,,,1.36,,1.32,,,,,,,,
500医药,sh512300,1.25,5360手,1.26,,,67.45万,,,,,,1.25,,1.25,,,,,,,,
500工业,sh512310,0.73,4832手,0.73,,,35.28万,,,,,,0.73,,0.73,,,,,,,,
500信息,sh512330,0.85,3743手,0.86,,,32.07万,,,,,,0.85,,0.85,,,,,,,,
500原料,sh512340,0.87,2638手,0.88,,,23.20万,,,,,,0.88,,0.87,,,,,,,,
中证500,sh512500,3.12,1320手,3.14,,,41.40万,,,,,,3.13,,3.12,,,,,,,,
ETF500,sh512510,1.31,1.25万手,1.32,,,164.55万,,,,,,1.31,,1.31,,,,,,,,
主要消费,sh512600,1.66,172手,1.66,,,2.86万,,,,,,1.63,,1.65,,,,,,,,
医药卫生,sh512610,1.46,318手,1.47,,,4.66万,,,,,,1.46,,1.46,,,,,,,,
金融地产,sh512640,--,--,--,,,--,,,,,,1.66,,--,,,,,,,,
